conn_id,arr_trip_id,dep_trip_id,hub_id,arr_time_min,dep_time_min,min_wait_min,max_wait_min,weight
C1,20251121-GT-3960,20251121-BR-6911,UN,587.0,594.0,2,30,1.0
C2,20251121-41-41350,20251121-21-21372,00132,761.0,765.0,2,30,1.0
C3,20251121-GT-3520,20251121-BR-6521,UN,875.0,902.0,2,30,1.0
