conn_id,arr_trip_id,dep_trip_id,hub_id,arr_time_min,dep_time_min,min_wait_min,max_wait_min,weight
C1,20251121-GT-3806,20251121-LE-9006,UN,425.0,432.0,2,30,1.0
C2,20251121-33-33202,20251121-92-92271,00011,565.0,595.0,2,30,1.0
C3,20251121-33-33202,20251121-48-48260,00354,513.0,529.0,2,30,1.0
C4,20251121-48-48260,20251121-41-41202,08041,543.0,570.0,2,30,1.0
C5,20251121-33-33240,20251121-94-94251,00019,605.0,615.0,2,30,1.0
