conn_id,arr_trip_id,dep_trip_id,hub_id,arr_time_min,dep_time_min,min_wait_min,max_wait_min,weight
C1,20251121-MI-2720,20251121-ST-7410,UN,528.0,540.0,2,30,1.0
C2,20251121-27-27190,20251121-30-30130,01440,474.0,502.0,2,30,1.0
C3,20251121-30-30130,20251121-56-56201,02673,546.0,577.0,2,30,1.0
C4,20251121-48-48260,20251121-56-56201,02673,565.0,577.0,2,30,1.0
C5,20251121-21-21294,20251121-61-61341,02300,695.0,705.0,2,30,1.0
C6,20251121-61-61341,20251121-56-56331,02771,744.0,766.0,2,30,1.0
C7,20251121-22-22220,20251121-40-40180,02163,506.0,510.0,2,30,1.0
C8,20251121-40-40180,20251121-56-56111,02771,577.0,499.0,2,30,1.0
