conn_id,arr_trip_id,dep_trip_id,hub_id,arr_time_min,dep_time_min,min_wait_min,max_wait_min,weight
C1,20251121-30-30070,20251121-47-47103,02728,374.0,467.0,2,30,1.0
C2,20251121-25-25090,20251121-47-47095,02214,380.0,475.0,2,30,1.0
