conn_id,arr_trip_id,dep_trip_id,hub_id,arr_time_min,dep_time_min,min_wait_min,max_wait_min,weight
C1,20251121-LW-1858,20251121-BR-6313,UN,482.0,654.0,2,30,1.0
C2,20251121-GT-3860,20251121-BR-6911,UN,557.0,594.0,2,30,1.0
C3,20251121-GT-3960,20251121-BR-6315,UN,587.0,714.0,2,30,1.0
C4,20251121-25-25210,20251121-21-21290,00132,610.0,620.0,2,30,1.0
C5,20251121-25-25210,20251121-41-41242,00132,610.0,615.0,2,30,1.0
C6,20251121-GT-3514,20251121-BR-6315,UN,695.0,714.0,2,30,1.0
C7,20251121-25-25260,20251121-41-41290,02214,655.0,660.0,2,30,1.0
C8,20251121-GT-3516,20251121-BR-6317,UN,755.0,774.0,2,30,1.0
