Arr_Trip,Dep_Trip,Hub,Status,Orig_Wait,New_Wait,Arr_Shift,Dep_Shift,Passengers
20251121-GT-3958,20251121-ST-7410,UN,KEPT,13,13.0,-5.0,-5.0,66
20251121-30-30070,20251121-54-54241,Hwy 407,MISSED,66,0.0,10.0,-5.0,31
20251121-25-25090,20251121-56-56171,Erin Mills,KEPT,19,5.0,10.0,-4.0,37
20251121-56-56171,20251121-ST-7410,Unionville,KEPT,8,7.0,-4.0,-5.0,20
20251121-25-25090,20251121-41-41152,Square One,MISSED,8,0.0,10.0,7.0,77
20251121-41-41152,20251121-54-54241,Hwy 407,KEPT,17,5.0,7.0,-5.0,40
20251121-17-17120,20251121-GT-3960,Guelph Central,KEPT,46,33.0,10.0,-3.0,29
20251121-GT-3960,20251121-ST-7412,UN,KEPT,13,11.0,-3.0,-5.0,21
20251121-30-30190,20251121-56-56201,Bramalea,MISSED,11,0.0,0.0,-2.0,73
20251121-56-56201,20251121-ST-7410,Unionville,KEPT,8,5.0,-2.0,-5.0,44
20251121-67-67170,20251121-96-96191,Yonge St.@ Florence Ave,KEPT,45,30.0,10.0,-5.0,6
20251121-RH-5006,20251121-LE-9006,UN,KEPT,9,6.0,10.0,7.0,10
20251121-RH-5323,20251121-41-41050,Richmond Hill Centre,KEPT,21,6.0,10.0,-5.0,5
20251121-41-41050,20251121-96-96191,Scarborough Centre,KEPT,17,17.0,-5.0,-5.0,3
20251121-RH-5243,20251121-56-56123,Richmond Hill Centre,KEPT,8,5.0,-1.0,-4.0,6
20251121-61-61280,20251121-56-56201,Yonge St.@Garden Ave,MISSED,6,0.0,10.0,-2.0,5
20251121-67-67481,20251121-65-65620,Wellington St. E. @ Hwy. 404 Park & Ride Bus,KEPT,35,20.0,10.0,-5.0,8
20251121-65-65620,20251121-LE-9011,UN,KEPT,30,30.0,-5.0,-5.0,4
20251121-37-37200,20251121-GT-3205,Brampton Innovation,KEPT,15,10.0,10.0,5.0,23
20251121-GT-3205,20251121-57-56123,Bramalea,KEPT,10,5.0,5.0,0.0,12
20251121-37-37210,20251121-33-33160,Main St. N. @ Vodden St. W.,KEPT,5,5.0,10.0,10.0,23
20251121-33-33160,20251121-27-27190,Yorkdale Bus Terminal,KEPT,10,10.0,10.0,10.0,17
20251121-27-27190,20251121-96-96241,Yonge St. @ Florence Ave,KEPT,21,6.0,10.0,-5.0,11
20251121-37-37220,20251121-GT-3205,Brampton Innovation,KEPT,15,10.0,10.0,5.0,34
20251121-GT-3205,20251121-41-41178,Bramalea,KEPT,8,5.0,5.0,2.0,27
20251121-41-41178,20251121-96-96281,Scarborough Centre,KEPT,32,25.0,2.0,-5.0,12
20251121-37-37740,20251121-33-33742,Main St. N. @ Vodden St. W,KEPT,32,17.0,10.0,-5.0,12
20251121-33-33742,20251121-94-94751,Yorkdale Bus Terminal,KEPT,10,10.0,-5.0,-5.0,11
20251121-94-94751,20251121-LE-9208,Pickering,KEPT,13,13.0,-5.0,-5.0,6
20251121-56-56053,20251121-GT-3806,Bramalea,KEPT,6,5.0,10.0,9.0,81
20251121-GT-3806,20251121-LE-9006,UN,KEPT,7,5.0,9.0,7.0,77
20251121-29-29130,20251121-MI-2710,Kipling,KEPT,12,10.0,7.0,5.0,41
20251121-MI-2710,20251121-LE-9206,UN,KEPT,6,5.0,5.0,4.0,29
20251121-41-41062,20251121-LE-9211,Pickering,KEPT,12,10.0,2.0,0.0,33
20251121-21-21111,20251121-MI-2718,Erindale,KEPT,18,10.0,4.0,-4.0,57
20251121-MI-2718,20251121-LE-9208,UN,KEPT,6,5.0,-4.0,-5.0,51
20251121-56-56050,20251121-LW-1710,Oakville,KEPT,26,11.0,10.0,-5.0,66
20251121-LW-1710,20251121-LE-9310,UN,KEPT,5,5.0,-5.0,-5.0,60
20251121-21-21240,20251121-LE-9312,UN,KEPT,30,15.0,10.0,-5.0,71
20251121-17-17120,20251121-LW-1858,Aldershot,KEPT,23,10.0,10.0,-3.0,20
20251121-LW-1858,20251121-BR-6313,UN,KEPT,39,37.0,-3.0,-5.0,16
20251121-17-17120,20251121-GT-3860,Guelph,KEPT,16,14.0,10.0,8.0,27
20251121-GT-3860,20251121-BR-6911,UN,KEPT,37,24.0,8.0,-5.0,23
20251121-30-30130,20251121-GT-3960,Kitchener,KEPT,42,29.0,10.0,-3.0,36
20251121-GT-3960,20251121-BR-6311,UN,MISSED,127,0.0,-3.0,-10.0,33
20251121-25-25210,20251121-41-41242,Square One,KEPT,5,5.0,10.0,10.0,24
20251121-41-41242,20251121-GT-3514,Bramalea,KEPT,28,13.0,10.0,-5.0,22
20251121-GT-3514,20251121-BR-6315,UN,KEPT,19,19.0,-5.0,-5.0,18
20251121-25-25260,20251121-41-41290,Erin Mills,MISSED,5,0.0,0.0,1.0,28
20251121-41-41290,20251121-GT-3516,Bramalea,KEPT,27,21.0,1.0,-5.0,25
20251121-GT-3516,20251121-BR-6317,UN,KEPT,19,19.0,-5.0,-5.0,20
