conn_id,arr_trip_id,dep_trip_id,hub_id,arr_time_min,dep_time_min,min_wait_min,max_wait_min,weight
C1,20251121-40-40060,20251121-66-66101,02674,425.0,430.0,2,30,1.0
C2,20251121-40-40120,20251121-41-41151,02674,500.0,510.0,2,30,1.0
C3,20251121-GT-3210,20251121-BR-6911,UN,575.0,594.0,2,30,1.0
C4,20251121-GT-3960,20251121-BR-6911,UN,587.0,594.0,2,30,1.0
C5,20251121-MI-2726,20251121-BR-6911,UN,573.0,594.0,2,30,1.0
C6,20251121-40-40160,20251121-66-66251,02674,540.0,565.0,2,30,1.0
