trip_id,route_id,route_short_name,max_advance_min,max_delay_min
20251121-37-37610,08251125-37,37,5,10
20251121-31-31570,08251125-31,31,5,10
20251121-GT-3028,08251125-GT,KI,5,10
20251121-LE-9128,08251125-LE,LE,5,10
20251121-56-56541,08251125-56,56,5,10
