conn_id,arr_trip_id,dep_trip_id,hub_id,arr_time_min,dep_time_min,min_wait_min,max_wait_min,weight
C1,20251121-37-37610,20251121-31-31570,00221,995.0,1000.0,2,30,1.0
C2,20251121-GT-3028,20251121-LE-9128,UN,1085.0,1100.0,2,30,1.0
C3,20251121-37-37610,20251121-31-31570,00221,995.0,1000.0,2,30,1.0
