route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
08251125-RH,GO,RH,Richmond Hill,2,0099c7,FFFFFF
08251125-MI,GO,MI,Milton,2,f57f25,FFFFFF
08251125-LW,GO,LW,Lakeshore West,2,98002e,FFFFFF
08251125-LE,GO,LE,Lakeshore East,2,ff0d00,FFFFFF
08251125-GT,GO,KI,Kitchener,2,00853e,FFFFFF
08251125-BR,GO,BR,Barrie,2,003767,FFFFFF
08251125-96,GO,96,Oshawa / Finch Express,3,ff0d00,FFFFFF
08251125-94,GO,94,Pickering / Square One,3,a21884,FFFFFF
08251125-92,GO,92,Oshawa / Yorkdale,3,ff0d00,FFFFFF
08251125-90,GO,90,Lakeshore East,3,ff0d00,FFFFFF
08251125-88,GO,88,Peterborough / Oshawa,3,ff0d00,FFFFFF
08251125-71,GO,71,Stouffville,3,794500,FFFFFF
08251125-70,GO,70,Uxbridge / Mount Joy,3,794500,FFFFFF
08251125-68,GO,68,Barrie / Newmarket,3,003767,FFFFFF
08251125-67,GO,67,Keswick / North York,3,003767,FFFFFF
08251125-66,GO,66,East Gwillimbury / Hwy 407 Terminal,3,003767,FFFFFF
08251125-65,GO,65,Newmarket / Toronto,3,003767,FFFFFF
08251125-61,GO,61,Richmond Hill,3,0099c7,FFFFFF
08251125-56,GO,56,Oshawa / Oakville,3,6f298d,FFFFFF
08251125-54,GO,54,Markham / Hwy 407 Terminal,3,6f298d,FFFFFF
08251125-52,GO,52,Oshawa / Hwy 407 Terminal,3,6f298d,FFFFFF
08251125-48,GO,48,Guelph / Hwy 407 Terminal,3,a21884,FFFFFF
08251125-47,GO,47,Hamilton / Hwy 407 Terminal,3,a21984,FFFFFF
08251125-41,GO,41,Hamilton / Pickering,3,a21984,FFFFFF
08251125-40,GO,40,Hamilton / Richmond Hill,3,a11984,FFFFFF
08251125-38,GO,38,Bolton / Malton,3,00853e,FFFFFF
08251125-37,GO,37,Orangeville / Brampton,3,00853e,FFFFFF
08251125-36,GO,36,Brampton / North York Express,3,00853e,FFFFFF
08251125-33,GO,33,Guelph / North York,3,00853e,FFFFFF
08251125-32,GO,32,Brampton Trinity Common / North York,3,00853e,FFFFFF
08251125-31,GO,31,Guelph / Toronto,3,00853e,FFFFFF
08251125-30,GO,30,Kitchener / Bramalea,3,00853e,FFFFFF
08251125-29,GO,29,Guelph / Mississauga,3,00853e,FFFFFF
08251125-27,GO,27,Milton / North York,3,f57f25,000000
08251125-25,GO,25,Waterloo / Mississauga,3,f57f25,000000
08251125-22,GO,22,Milton / Oakville,3,f78025,000000
08251125-21,GO,21,Milton,3,f57f25,000000
08251125-19,GO,19,Mississauga / North York,3,f57f25,000000
08251125-18,GO,18,Lakeshore West,3,98002e,FFFFFF
08251125-17,GO,17,Waterloo / Hamilton,3,f78025,000000
08251125-16,GO,16,Hamilton / Toronto Express,3,98002e,FFFFFF
08251125-15,GO,15,Brantford / Aldershot,3,98002e,FFFFFF
08251125-12,GO,12,Niagara Falls / Toronto,3,98002e,FFFFFF
08251125-11,GO,11,Brock University,3,98002e,FFFFFF
11250126-ST,GO,ST,Stouffville,2,794500,FFFFFF
11250126-RH,GO,RH,Richmond Hill,2,0099c7,FFFFFF
11250126-MI,GO,MI,Milton,2,f57f25,FFFFFF
11250126-LW,GO,LW,Lakeshore West,2,98002e,FFFFFF
11250126-LE,GO,LE,Lakeshore East,2,ff0d00,FFFFFF
11250126-GT,GO,KI,Kitchener,2,00853e,FFFFFF
11250126-BR,GO,BR,Barrie,2,003767,FFFFFF
11250126-96,GO,96,Oshawa / Finch Express,3,ff0d00,FFFFFF
11250126-94,GO,94,Pickering / Square One,3,a21884,FFFFFF
11250126-92,GO,92,Oshawa / Yorkdale,3,ff0d00,FFFFFF
11250126-90,GO,90,Lakeshore East,3,ff0d00,FFFFFF
11250126-88,GO,88,Peterborough / Oshawa,3,ff0d00,FFFFFF
11250126-71,GO,71,Stouffville,3,794500,FFFFFF
11250126-70,GO,70,Uxbridge / Mount Joy,3,794500,FFFFFF
11250126-68,GO,68,Barrie / Newmarket,3,003767,FFFFFF
11250126-67,GO,67,Keswick / North York,3,003767,FFFFFF
11250126-66,GO,66,East Gwillimbury / Hwy 407 Terminal,3,003767,FFFFFF
11250126-65,GO,65,Newmarket / Toronto,3,003767,FFFFFF
11250126-61,GO,61,Richmond Hill,3,0099c7,FFFFFF
11250126-56,GO,56,Oshawa / Oakville,3,6f298d,FFFFFF
11250126-54,GO,54,Markham / Hwy 407 Terminal,3,6f298d,FFFFFF
11250126-52,GO,52,Oshawa / Hwy 407 Terminal,3,6f298d,FFFFFF
11250126-48,GO,48,Guelph / Hwy 407 Terminal,3,a21884,FFFFFF
11250126-47,GO,47,Hamilton / Hwy 407 Terminal,3,a21984,FFFFFF
11250126-41,GO,41,Hamilton / Pickering,3,a21984,FFFFFF
11250126-40,GO,40,Hamilton / Richmond Hill,3,a11984,FFFFFF
11250126-38,GO,38,Bolton / Malton,3,00853e,FFFFFF
11250126-37,GO,37,Orangeville / Brampton,3,00853e,FFFFFF
11250126-36,GO,36,Brampton / North York Express,3,00853e,FFFFFF
11250126-35,GO,35,Union Pearson Express,3,00a6ff,FFFFFF
11250126-33,GO,33,Guelph / North York,3,00853e,FFFFFF
11250126-32,GO,32,Brampton Trinity Common / North York,3,00853e,FFFFFF
11250126-31,GO,31,Guelph / Toronto,3,00853e,FFFFFF
11250126-30,GO,30,Kitchener / Bramalea,3,00853e,FFFFFF
11250126-29,GO,29,Guelph / Mississauga,3,00853e,FFFFFF
11250126-27,GO,27,Milton / North York,3,f57f25,000000
11250126-25,GO,25,Waterloo / Mississauga,3,f57f25,000000
11250126-22,GO,22,Milton / Oakville,3,f78025,000000
11250126-21,GO,21,Milton,3,f57f25,000000
11250126-19,GO,19,Mississauga / North York,3,f57f25,000000
11250126-18,GO,18,Lakeshore West,3,98002e,FFFFFF
11250126-17,GO,17,Waterloo / Hamilton,3,f78025,000000
11250126-16,GO,16,Hamilton / Toronto Express,3,98002e,FFFFFF
11250126-15,GO,15,Brantford / Aldershot,3,98002e,FFFFFF
11250126-12,GO,12,Niagara Falls / Toronto,3,98002e,FFFFFF
11250126-11,GO,11,Brock University,3,98002e,FFFFFF
