trip_id,route_id,route_short_name,max_advance_min,max_delay_min
20251121-30-30070,08251125-30,30,5,10
20251121-GT-3958,08251125-GT,KI,5,10
20251121-ST-7410,08251125-ST,ST,5,10
20251121-54-54241,08251125-54,54,5,10
20251121-25-25090,08251125-25,25,5,10
20251121-56-56171,08251125-56,56,5,10
20251121-41-41152,08251125-41,41,5,10
20251121-17-17120,08251125-17,17,5,10
20251121-GT-3960,08251125-GT,KI,5,10
20251121-ST-7412,08251125-ST,ST,5,10
20251121-30-30190,08251125-30,30,5,10
20251121-56-56201,08251125-56,56,5,10
