conn_id,arr_trip_id,dep_trip_id,hub_id,arr_time_min,dep_time_min,min_wait_min,max_wait_min,weight
C1,20251121-56-56041,20251121-56-56053,02141,411.0,417.0,2,30,1.0
C2,20251121-RH-5006,20251121-LE-9006,UN,419.0,432.0,2,30,1.0
